run=stage2_comp_s0 metric=euclidean skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '74.6', 'episodes': 3}
{'step': 2000, 'sps': '73.6', 'episodes': 6}
{'step': 3000, 'sps': '71.2', 'episodes': 10}
{'step': 4000, 'sps': '71.3', 'episodes': 13}
{'step': 42000, 'sps': '33.5', 'episodes': 140, 'metric/d_mean': '0.003548', 'metric/d_nonzero': '0.5301', 'phi/constraint': '0.0006097', 'phi/lambda': '4.506', 'phi/obj': '0.004065', 'phi/violation_rate': '0.5181', 'sac/actor_loss': '-53.97', 'sac/alpha': '0.06342', 'sac/q_loss': '9.711', 'sac/reward_mean': '0.411'}
{'step': 43000, 'sps': '33.5', 'episodes': 143, 'metric/d_mean': '0.003558', 'metric/d_nonzero': '0.5367', 'phi/constraint': '0.0005791', 'phi/lambda': '4.535', 'phi/obj': '0.004274', 'phi/violation_rate': '0.5265', 'sac/actor_loss': '-55.2', 'sac/alpha': '0.06236', 'sac/q_loss': '10.02', 'sac/reward_mean': '0.4319'}
{'step': 44000, 'sps': '33.5', 'episodes': 146, 'metric/d_mean': '0.003409', 'metric/d_nonzero': '0.543', 'phi/constraint': '0.000569', 'phi/lambda': '4.845', 'phi/obj': '0.004285', 'phi/violation_rate': '0.5298', 'sac/actor_loss': '-56.69', 'sac/alpha': '0.06295', 'sac/q_loss': '9.652', 'sac/reward_mean': '0.433'}
{'step': 45000, 'sps': '33.5', 'episodes': 150, 'metric/d_mean': '0.003478', 'metric/d_nonzero': '0.5496', 'phi/constraint': '0.0006015', 'phi/lambda': '5.076', 'phi/obj': '0.004198', 'phi/violation_rate': '0.5344', 'sac/actor_loss': '-57.83', 'sac/alpha': '0.06312', 'sac/q_loss': '9.912', 'sac/reward_mean': '0.4243'}
{'step': 46000, 'sps': '33.4', 'episodes': 153, 'metric/d_mean': '0.003669', 'metric/d_nonzero': '0.5533', 'phi/constraint': '0.0006549', 'phi/lambda': '4.786', 'phi/obj': '0.004369', 'phi/violation_rate': '0.5387', 'sac/actor_loss': '-59.37', 'sac/alpha': '0.06397', 'sac/q_loss': '11.03', 'sac/reward_mean': '0.4416'}
{'step': 47000, 'sps': '33.4', 'episodes': 156, 'metric/d_mean': '0.003576', 'metric/d_nonzero': '0.5566', 'phi/constraint': '0.0005824', 'phi/lambda': '4.964', 'phi/obj': '0.004592', 'phi/violation_rate': '0.5422', 'sac/actor_loss': '-60.68', 'sac/alpha': '0.06429', 'sac/q_loss': '11.24', 'sac/reward_mean': '0.4641'}
{'step': 48000, 'sps': '33.4', 'episodes': 160, 'metric/d_mean': '0.003631', 'metric/d_nonzero': '0.5621', 'phi/constraint': '0.0006289', 'phi/lambda': '5.052', 'phi/obj': '0.004629', 'phi/violation_rate': '0.5487', 'sac/actor_loss': '-61.93', 'sac/alpha': '0.06424', 'sac/q_loss': '10.69', 'sac/reward_mean': '0.4676'}
{'step': 49000, 'sps': '33.4', 'episodes': 163, 'metric/d_mean': '0.003695', 'metric/d_nonzero': '0.563', 'phi/constraint': '0.0005908', 'phi/lambda': '5.05', 'phi/obj': '0.004792', 'phi/violation_rate': '0.5495', 'sac/actor_loss': '-63.11', 'sac/alpha': '0.06321', 'sac/q_loss': '11.21', 'sac/reward_mean': '0.4839'}
{'step': 50000, 'sps': '33.4', 'episodes': 166, 'metric/d_mean': '0.003641', 'metric/d_nonzero': '0.5599', 'phi/constraint': '0.0006263', 'phi/lambda': '5.199', 'phi/obj': '0.004809', 'phi/violation_rate': '0.5465', 'sac/actor_loss': '-64.11', 'sac/alpha': '0.0634', 'sac/q_loss': '11.19', 'sac/reward_mean': '0.4859'}
{'step': 51000, 'sps': '33.4', 'episodes': 170, 'metric/d_mean': '0.003644', 'metric/d_nonzero': '0.5665', 'phi/constraint': '0.000558', 'phi/lambda': '5.378', 'phi/obj': '0.004885', 'phi/violation_rate': '0.5533', 'sac/actor_loss': '-65.16', 'sac/alpha': '0.06088', 'sac/q_loss': '11.73', 'sac/reward_mean': '0.4933'}
