run=mi_full_s1 metric=w2 skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '69', 'episodes': 5}
{'step': 2000, 'sps': '68.4', 'episodes': 10}
{'step': 3000, 'sps': '66.5', 'episodes': 15}
{'step': 4000, 'sps': '65.7', 'episodes': 20}
{'step': 95000, 'sps': '31', 'episodes': 475, 'phi/obj': '0.9869', 'sac/actor_loss': '-98.53', 'sac/alpha': '0.003098', 'sac/q_loss': '0.03169', 'sac/reward_mean': '0.9886'}
{'step': 96000, 'sps': '31', 'episodes': 480, 'phi/obj': '0.9868', 'sac/actor_loss': '-98.54', 'sac/alpha': '0.003054', 'sac/q_loss': '0.02604', 'sac/reward_mean': '0.9886'}
{'step': 97000, 'sps': '31', 'episodes': 485, 'phi/obj': '0.9873', 'sac/actor_loss': '-98.55', 'sac/alpha': '0.003029', 'sac/q_loss': '0.0265', 'sac/reward_mean': '0.9889'}
{'step': 98000, 'sps': '31', 'episodes': 490, 'phi/obj': '0.9872', 'sac/actor_loss': '-98.57', 'sac/alpha': '0.003006', 'sac/q_loss': '0.02884', 'sac/reward_mean': '0.9889'}
{'step': 99000, 'sps': '31', 'episodes': 495, 'phi/obj': '0.9871', 'sac/actor_loss': '-98.59', 'sac/alpha': '0.002975', 'sac/q_loss': '0.02959', 'sac/reward_mean': '0.9888'}
{'step': 100000, 'sps': '31', 'episodes': 500, 'phi/obj': '0.9865', 'sac/actor_loss': '-98.6', 'sac/alpha': '0.00291', 'sac/q_loss': '0.02889', 'sac/reward_mean': '0.9883'}
{'step': 101000, 'sps': '31', 'episodes': 505, 'phi/obj': '0.9873', 'sac/actor_loss': '-98.6', 'sac/alpha': '0.002863', 'sac/q_loss': '0.02897', 'sac/reward_mean': '0.989'}
{'step': 102000, 'sps': '31', 'episodes': 510, 'phi/obj': '0.987', 'sac/actor_loss': '-98.6', 'sac/alpha': '0.002866', 'sac/q_loss': '0.02988', 'sac/reward_mean': '0.9886'}
{'step': 103000, 'sps': '31', 'episodes': 515, 'phi/obj': '0.987', 'sac/actor_loss': '-98.61', 'sac/alpha': '0.002805', 'sac/q_loss': '0.02949', 'sac/reward_mean': '0.9887'}
{'step': 104000, 'sps': '31', 'episodes': 520, 'phi/obj': '0.9861', 'sac/actor_loss': '-98.6', 'sac/alpha': '0.002797', 'sac/q_loss': '0.02887', 'sac/reward_mean': '0.9879'}
{'step': 105000, 'sps': '31', 'episodes': 525, 'phi/obj': '0.9864', 'sac/actor_loss': '-98.61', 'sac/alpha': '0.002764', 'sac/q_loss': '0.03033', 'sac/reward_mean': '0.9881'}
{'step': 106000, 'sps': '31', 'episodes': 530, 'phi/obj': '0.986', 'sac/actor_loss': '-98.61', 'sac/alpha': '0.002732', 'sac/q_loss': '0.02865', 'sac/reward_mean': '0.9878'}
{'step': 107000, 'sps': '31', 'episodes': 535, 'phi/obj': '0.9867', 'sac/actor_loss': '-98.61', 'sac/alpha': '0.002715', 'sac/q_loss': '0.02746', 'sac/reward_mean': '0.9883'}
{'step': 108000, 'sps': '31', 'episodes': 540, 'phi/obj': '0.9852', 'sac/actor_loss': '-98.6', 'sac/alpha': '0.002682', 'sac/q_loss': '0.03085', 'sac/reward_mean': '0.9871'}
{'step': 109000, 'sps': '31', 'episodes': 545, 'phi/obj': '0.9854', 'sac/actor_loss': '-98.6', 'sac/alpha': '0.00261', 'sac/q_loss': '0.0308', 'sac/reward_mean': '0.9873'}
{'step': 110000, 'sps': '31', 'episodes': 550, 'phi/obj': '0.9859', 'sac/actor_loss': '-98.59', 'sac/alpha': '0.002635', 'sac/q_loss': '0.03011', 'sac/reward_mean': '0.9877'}
{'step': 111000, 'sps': '31', 'episodes': 555, 'phi/obj': '0.9861', 'sac/actor_loss': '-98.59', 'sac/alpha': '0.00261', 'sac/q_loss': '0.02892', 'sac/reward_mean': '0.9879'}
{'step': 112000, 'sps': '31', 'episodes': 560, 'phi/obj': '0.986', 'sac/actor_loss': '-98.59', 'sac/alpha': '0.00255', 'sac/q_loss': '0.02914', 'sac/reward_mean': '0.9878'}
{'step': 113000, 'sps': '31', 'episodes': 565, 'phi/obj': '0.9844', 'sac/actor_loss': '-98.58', 'sac/alpha': '0.002478', 'sac/q_loss': '0.03097', 'sac/reward_mean': '0.9864'}
{'step': 114000, 'sps': '31', 'episodes': 570, 'phi/obj': '0.9841', 'sac/actor_loss': '-98.56', 'sac/alpha': '0.002441', 'sac/q_loss': '0.04221', 'sac/reward_mean': '0.9862'}
{'step': 115000, 'sps': '31', 'episodes': 575, 'phi/obj': '0.9845', 'sac/actor_loss': '-98.55', 'sac/alpha': '0.002339', 'sac/q_loss': '0.02995', 'sac/reward_mean': '0.9865'}
{'step': 116000, 'sps': '31', 'episodes': 580, 'phi/obj': '0.9829', 'sac/actor_loss': '-98.52', 'sac/alpha': '0.002322', 'sac/q_loss': '0.03544', 'sac/reward_mean': '0.9849'}
{'step': 117000, 'sps': '31', 'episodes': 585, 'phi/obj': '0.9848', 'sac/actor_loss': '-98.5', 'sac/alpha': '0.002297', 'sac/q_loss': '0.02882', 'sac/reward_mean': '0.9867'}
{'step': 118000, 'sps': '31', 'episodes': 590, 'phi/obj': '0.9846', 'sac/actor_loss': '-98.48', 'sac/alpha': '0.002265', 'sac/q_loss': '0.0273', 'sac/reward_mean': '0.9866'}
{'step': 119000, 'sps': '31', 'episodes': 595, 'phi/obj': '0.9848', 'sac/actor_loss': '-98.49', 'sac/alpha': '0.002261', 'sac/q_loss': '0.02928', 'sac/reward_mean': '0.9868'}
