run=abl_fullstate_temporal_s1 metric=temporal skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '76.5', 'episodes': 5}
{'step': 2000, 'sps': '76.9', 'episodes': 10}
{'step': 3000, 'sps': '77', 'episodes': 15}
{'step': 4000, 'sps': '77.3', 'episodes': 20}
{'step': 50000, 'sps': '36.5', 'episodes': 250, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.09708', 'phi/lambda': '0.3962', 'phi/obj': '0.6164', 'phi/violation_rate': '0.4213', 'sac/actor_loss': '-6304', 'sac/alpha': '2.921', 'sac/q_loss': '1393', 'sac/reward_mean': '61.72'}
{'step': 51000, 'sps': '36.5', 'episodes': 255, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.09428', 'phi/lambda': '0.3958', 'phi/obj': '0.6212', 'phi/violation_rate': '0.4252', 'sac/actor_loss': '-6359', 'sac/alpha': '2.935', 'sac/q_loss': '1305', 'sac/reward_mean': '62.19'}
{'step': 52000, 'sps': '36.4', 'episodes': 260, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.09441', 'phi/lambda': '0.3975', 'phi/obj': '0.6221', 'phi/violation_rate': '0.4224', 'sac/actor_loss': '-6410', 'sac/alpha': '2.938', 'sac/q_loss': '1359', 'sac/reward_mean': '62.29'}
{'step': 53000, 'sps': '36.4', 'episodes': 265, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.09139', 'phi/lambda': '0.3972', 'phi/obj': '0.6272', 'phi/violation_rate': '0.4274', 'sac/actor_loss': '-6461', 'sac/alpha': '2.924', 'sac/q_loss': '1401', 'sac/reward_mean': '62.79'}
{'step': 54000, 'sps': '36.3', 'episodes': 270, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.09061', 'phi/lambda': '0.3988', 'phi/obj': '0.6276', 'phi/violation_rate': '0.4238', 'sac/actor_loss': '-6489', 'sac/alpha': '2.926', 'sac/q_loss': '1437', 'sac/reward_mean': '62.83'}
{'step': 55000, 'sps': '36.3', 'episodes': 275, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.0915', 'phi/lambda': '0.399', 'phi/obj': '0.6261', 'phi/violation_rate': '0.4225', 'sac/actor_loss': '-6529', 'sac/alpha': '2.846', 'sac/q_loss': '1364', 'sac/reward_mean': '62.69'}
{'step': 56000, 'sps': '36.3', 'episodes': 280, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.08785', 'phi/lambda': '0.3977', 'phi/obj': '0.6326', 'phi/violation_rate': '0.4298', 'sac/actor_loss': '-6583', 'sac/alpha': '2.77', 'sac/q_loss': '1343', 'sac/reward_mean': '63.33'}
{'step': 57000, 'sps': '36.2', 'episodes': 285, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.08869', 'phi/lambda': '0.4004', 'phi/obj': '0.6356', 'phi/violation_rate': '0.4289', 'sac/actor_loss': '-6623', 'sac/alpha': '2.742', 'sac/q_loss': '1320', 'sac/reward_mean': '63.64'}
{'step': 58000, 'sps': '36.2', 'episodes': 290, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.08819', 'phi/lambda': '0.4021', 'phi/obj': '0.6359', 'phi/violation_rate': '0.426', 'sac/actor_loss': '-6655', 'sac/alpha': '2.721', 'sac/q_loss': '1322', 'sac/reward_mean': '63.66'}
{'step': 59000, 'sps': '36.1', 'episodes': 295, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.08372', 'phi/lambda': '0.4013', 'phi/obj': '0.6413', 'phi/violation_rate': '0.4318', 'sac/actor_loss': '-6698', 'sac/alpha': '2.692', 'sac/q_loss': '1338', 'sac/reward_mean': '64.2'}
{'step': 60000, 'sps': '36.1', 'episodes': 300, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.08301', 'phi/lambda': '0.4031', 'phi/obj': '0.641', 'phi/violation_rate': '0.4262', 'sac/actor_loss': '-6722', 'sac/alpha': '2.681', 'sac/q_loss': '1364', 'sac/reward_mean': '64.18'}
{'step': 61000, 'sps': '36.1', 'episodes': 305, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.08189', 'phi/lambda': '0.4009', 'phi/obj': '0.6446', 'phi/violation_rate': '0.4295', 'sac/actor_loss': '-6758', 'sac/alpha': '2.694', 'sac/q_loss': '1312', 'sac/reward_mean': '64.53'}
{'step': 62000, 'sps': '36.1', 'episodes': 310, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.08054', 'phi/lambda': '0.4047', 'phi/obj': '0.6458', 'phi/violation_rate': '0.4257', 'sac/actor_loss': '-6792', 'sac/alpha': '2.69', 'sac/q_loss': '1330', 'sac/reward_mean': '64.65'}
{'step': 63000, 'sps': '36', 'episodes': 315, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.07916', 'phi/lambda': '0.4044', 'phi/obj': '0.6502', 'phi/violation_rate': '0.4293', 'sac/actor_loss': '-6826', 'sac/alpha': '2.724', 'sac/q_loss': '1325', 'sac/reward_mean': '65.09'}
{'step': 64000, 'sps': '36', 'episodes': 320, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.0778', 'phi/lambda': '0.4037', 'phi/obj': '0.6538', 'phi/violation_rate': '0.4335', 'sac/actor_loss': '-6857', 'sac/alpha': '2.719', 'sac/q_loss': '1354', 'sac/reward_mean': '65.45'}
{'step': 65000, 'sps': '36', 'episodes': 325, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.07751', 'phi/lambda': '0.4051', 'phi/obj': '0.6552', 'phi/violation_rate': '0.4304', 'sac/actor_loss': '-6887', 'sac/alpha': '2.707', 'sac/q_loss': '1342', 'sac/reward_mean': '65.6'}
