run=stage2_1d_s0 metric=euclidean skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '75.7', 'episodes': 3}
{'step': 2000, 'sps': '74.8', 'episodes': 6}
{'step': 3000, 'sps': '72.2', 'episodes': 10}
{'step': 4000, 'sps': '72.1', 'episodes': 13}
{'step': 47000, 'sps': '33.5', 'episodes': 156, 'metric/d_mean': '0.0009952', 'metric/d_nonzero': '0.3501', 'phi/constraint': '6.966e-07', 'phi/lambda': '61.35', 'phi/obj': '0.0002705', 'phi/violation_rate': '0.07164', 'sac/actor_loss': '-7.15', 'sac/alpha': '0.004141', 'sac/q_loss': '0.02543', 'sac/reward_mean': '0.02722'}
{'step': 48000, 'sps': '33.5', 'episodes': 160, 'metric/d_mean': '0.001008', 'metric/d_nonzero': '0.355', 'phi/constraint': '7.304e-07', 'phi/lambda': '64.02', 'phi/obj': '0.0002792', 'phi/violation_rate': '0.0691', 'sac/actor_loss': '-7.033', 'sac/alpha': '0.004154', 'sac/q_loss': '0.0264', 'sac/reward_mean': '0.0281'}
{'step': 49000, 'sps': '33.5', 'episodes': 163, 'metric/d_mean': '0.00101', 'metric/d_nonzero': '0.3554', 'phi/constraint': '7.487e-07', 'phi/lambda': '64.74', 'phi/obj': '0.0002834', 'phi/violation_rate': '0.0684', 'sac/actor_loss': '-6.885', 'sac/alpha': '0.004071', 'sac/q_loss': '0.02679', 'sac/reward_mean': '0.0285'}
{'step': 50000, 'sps': '33.5', 'episodes': 166, 'metric/d_mean': '0.001028', 'metric/d_nonzero': '0.3599', 'phi/constraint': '7.369e-07', 'phi/lambda': '64.56', 'phi/obj': '0.0002934', 'phi/violation_rate': '0.06996', 'sac/actor_loss': '-6.754', 'sac/alpha': '0.003941', 'sac/q_loss': '0.02774', 'sac/reward_mean': '0.02951'}
{'step': 51000, 'sps': '33.5', 'episodes': 170, 'metric/d_mean': '0.00104', 'metric/d_nonzero': '0.3621', 'phi/constraint': '7.439e-07', 'phi/lambda': '65.89', 'phi/obj': '0.0003046', 'phi/violation_rate': '0.06993', 'sac/actor_loss': '-6.674', 'sac/alpha': '0.003964', 'sac/q_loss': '0.02919', 'sac/reward_mean': '0.03064'}
{'step': 52000, 'sps': '33.5', 'episodes': 173, 'metric/d_mean': '0.001046', 'metric/d_nonzero': '0.3682', 'phi/constraint': '7.473e-07', 'phi/lambda': '68.28', 'phi/obj': '0.0003139', 'phi/violation_rate': '0.07072', 'sac/actor_loss': '-6.578', 'sac/alpha': '0.004061', 'sac/q_loss': '0.02875', 'sac/reward_mean': '0.03156'}
{'step': 53000, 'sps': '33.5', 'episodes': 176, 'metric/d_mean': '0.001051', 'metric/d_nonzero': '0.3705', 'phi/constraint': '7.581e-07', 'phi/lambda': '68.47', 'phi/obj': '0.000312', 'phi/violation_rate': '0.07074', 'sac/actor_loss': '-6.462', 'sac/alpha': '0.004204', 'sac/q_loss': '0.02895', 'sac/reward_mean': '0.03138'}
{'step': 54000, 'sps': '33.5', 'episodes': 180, 'metric/d_mean': '0.001031', 'metric/d_nonzero': '0.3677', 'phi/constraint': '7.375e-07', 'phi/lambda': '68.67', 'phi/obj': '0.0003056', 'phi/violation_rate': '0.06908', 'sac/actor_loss': '-6.313', 'sac/alpha': '0.004037', 'sac/q_loss': '0.0308', 'sac/reward_mean': '0.03075'}
{'step': 55000, 'sps': '33.5', 'episodes': 183, 'metric/d_mean': '0.001037', 'metric/d_nonzero': '0.3716', 'phi/constraint': '7.413e-07', 'phi/lambda': '68.76', 'phi/obj': '0.0003097', 'phi/violation_rate': '0.06932', 'sac/actor_loss': '-6.164', 'sac/alpha': '0.003972', 'sac/q_loss': '0.03275', 'sac/reward_mean': '0.03115'}
{'step': 56000, 'sps': '33.5', 'episodes': 186, 'metric/d_mean': '0.001039', 'metric/d_nonzero': '0.3727', 'phi/constraint': '7.302e-07', 'phi/lambda': '70.11', 'phi/obj': '0.000317', 'phi/violation_rate': '0.06901', 'sac/actor_loss': '-6.099', 'sac/alpha': '0.004037', 'sac/q_loss': '0.03433', 'sac/reward_mean': '0.03187'}
