run=dads_full_s1 metric=w2 skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '63.7', 'episodes': 5}
{'step': 2000, 'sps': '64.7', 'episodes': 10}
{'step': 3000, 'sps': '64.8', 'episodes': 15}
{'step': 4000, 'sps': '64.8', 'episodes': 20}
{'step': 57000, 'sps': '30.3', 'episodes': 285, 'phi/obj': '-0.0003089', 'sac/actor_loss': '-95.26', 'sac/alpha': '0.06921', 'sac/q_loss': '10.6', 'sac/reward_mean': '0.6794'}
{'step': 58000, 'sps': '30.3', 'episodes': 290, 'phi/obj': '-0.0003022', 'sac/actor_loss': '-94.88', 'sac/alpha': '0.06893', 'sac/q_loss': '10.73', 'sac/reward_mean': '0.6821'}
{'step': 59000, 'sps': '30.3', 'episodes': 295, 'phi/obj': '-0.0003094', 'sac/actor_loss': '-94.56', 'sac/alpha': '0.07009', 'sac/q_loss': '10.77', 'sac/reward_mean': '0.6701'}
{'step': 60000, 'sps': '30.3', 'episodes': 300, 'phi/obj': '-0.0003115', 'sac/actor_loss': '-94.42', 'sac/alpha': '0.07039', 'sac/q_loss': '10.92', 'sac/reward_mean': '0.6684'}
{'step': 61000, 'sps': '30.2', 'episodes': 305, 'phi/obj': '-0.00031', 'sac/actor_loss': '-94.43', 'sac/alpha': '0.07166', 'sac/q_loss': '10.15', 'sac/reward_mean': '0.6737'}
{'step': 62000, 'sps': '30.2', 'episodes': 310, 'phi/obj': '-0.0003003', 'sac/actor_loss': '-94.3', 'sac/alpha': '0.07078', 'sac/q_loss': '10.29', 'sac/reward_mean': '0.6645'}
{'step': 63000, 'sps': '30.2', 'episodes': 315, 'phi/obj': '-0.0003004', 'sac/actor_loss': '-94.09', 'sac/alpha': '0.06944', 'sac/q_loss': '10.1', 'sac/reward_mean': '0.6602'}
{'step': 64000, 'sps': '30.2', 'episodes': 320, 'phi/obj': '-0.0002997', 'sac/actor_loss': '-94.2', 'sac/alpha': '0.06963', 'sac/q_loss': '10.15', 'sac/reward_mean': '0.6589'}
{'step': 65000, 'sps': '30.1', 'episodes': 325, 'phi/obj': '-0.000301', 'sac/actor_loss': '-94.17', 'sac/alpha': '0.06901', 'sac/q_loss': '10.14', 'sac/reward_mean': '0.6486'}
{'step': 66000, 'sps': '30.1', 'episodes': 330, 'phi/obj': '-0.0003032', 'sac/actor_loss': '-94.05', 'sac/alpha': '0.06864', 'sac/q_loss': '10.88', 'sac/reward_mean': '0.6392'}
{'step': 67000, 'sps': '30.1', 'episodes': 335, 'phi/obj': '-0.0003036', 'sac/actor_loss': '-94', 'sac/alpha': '0.06972', 'sac/q_loss': '10.98', 'sac/reward_mean': '0.6232'}
{'step': 68000, 'sps': '30.1', 'episodes': 340, 'phi/obj': '-0.0003016', 'sac/actor_loss': '-94.05', 'sac/alpha': '0.06798', 'sac/q_loss': '10.98', 'sac/reward_mean': '0.6062'}
{'step': 69000, 'sps': '30.1', 'episodes': 345, 'phi/obj': '-0.000306', 'sac/actor_loss': '-94.1', 'sac/alpha': '0.06452', 'sac/q_loss': '11.2', 'sac/reward_mean': '0.5966'}
{'step': 70000, 'sps': '30', 'episodes': 350, 'phi/obj': '-0.0003085', 'sac/actor_loss': '-94.06', 'sac/alpha': '0.06163', 'sac/q_loss': '11.18', 'sac/reward_mean': '0.5782'}
{'step': 71000, 'sps': '30', 'episodes': 355, 'phi/obj': '-0.0003086', 'sac/actor_loss': '-93.95', 'sac/alpha': '0.06025', 'sac/q_loss': '10.79', 'sac/reward_mean': '0.5822'}
{'step': 72000, 'sps': '30', 'episodes': 360, 'phi/obj': '-0.0003064', 'sac/actor_loss': '-93.6', 'sac/alpha': '0.05946', 'sac/q_loss': '10.75', 'sac/reward_mean': '0.572'}
{'step': 73000, 'sps': '30', 'episodes': 365, 'phi/obj': '-0.0003113', 'sac/actor_loss': '-93.25', 'sac/alpha': '0.05853', 'sac/q_loss': '11.77', 'sac/reward_mean': '0.5612'}
{'step': 74000, 'sps': '30', 'episodes': 370, 'phi/obj': '-0.0003087', 'sac/actor_loss': '-92.87', 'sac/alpha': '0.05867', 'sac/q_loss': '11.54', 'sac/reward_mean': '0.5634'}
{'step': 75000, 'sps': '30', 'episodes': 375, 'phi/obj': '-0.0003063', 'sac/actor_loss': '-92.61', 'sac/alpha': '0.05794', 'sac/q_loss': '11.49', 'sac/reward_mean': '0.5541'}
{'step': 76000, 'sps': '30', 'episodes': 380, 'phi/obj': '-0.0003052', 'sac/actor_loss': '-92.25', 'sac/alpha': '0.0575', 'sac/q_loss': '11.14', 'sac/reward_mean': '0.5543'}
{'step': 77000, 'sps': '29.9', 'episodes': 385, 'phi/obj': '-0.0003033', 'sac/actor_loss': '-91.62', 'sac/alpha': '0.05639', 'sac/q_loss': '10.9', 'sac/reward_mean': '0.548'}
{'step': 78000, 'sps': '29.9', 'episodes': 390, 'phi/obj': '-0.0003062', 'sac/actor_loss': '-91.17', 'sac/alpha': '0.05621', 'sac/q_loss': '11.34', 'sac/reward_mean': '0.5387'}
{'step': 79000, 'sps': '29.9', 'episodes': 395, 'phi/obj': '-0.0003122', 'sac/actor_loss': '-90.57', 'sac/alpha': '0.05553', 'sac/q_loss': '11.79', 'sac/reward_mean': '0.531'}
{'step': 80000, 'sps': '29.9', 'episodes': 400, 'phi/obj': '-0.0003096', 'sac/actor_loss': '-89.79', 'sac/alpha': '0.05493', 'sac/q_loss': '11.75', 'sac/reward_mean': '0.5292'}
{'step': 81000, 'sps': '29.9', 'episodes': 405, 'phi/obj': '-0.0003107', 'sac/actor_loss': '-89.25', 'sac/alpha': '0.05341', 'sac/q_loss': '11.44', 'sac/reward_mean': '0.5148'}
{'step': 82000, 'sps': '29.9', 'episodes': 410, 'phi/obj': '-0.0003066', 'sac/actor_loss': '-88.47', 'sac/alpha': '0.05255', 'sac/q_loss': '11.43', 'sac/reward_mean': '0.5198'}
{'step': 83000, 'sps': '29.9', 'episodes': 415, 'phi/obj': '-0.0003072', 'sac/actor_loss': '-87.72', 'sac/alpha': '0.05176', 'sac/q_loss': '11.8', 'sac/reward_mean': '0.5145'}
