run=mi_soil_s1 metric=w2 skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '69.7', 'episodes': 5}
{'step': 2000, 'sps': '69.3', 'episodes': 10}
{'step': 3000, 'sps': '67.3', 'episodes': 15}
{'step': 4000, 'sps': '66.3', 'episodes': 20}
{'step': 84000, 'sps': '31.1', 'episodes': 420, 'phi/obj': '0.9727', 'sac/actor_loss': '-95.58', 'sac/alpha': '0.002835', 'sac/q_loss': '0.1194', 'sac/reward_mean': '0.9741'}
{'step': 85000, 'sps': '31.1', 'episodes': 425, 'phi/obj': '0.9711', 'sac/actor_loss': '-95.63', 'sac/alpha': '0.002848', 'sac/q_loss': '0.0981', 'sac/reward_mean': '0.9726'}
{'step': 86000, 'sps': '31.1', 'episodes': 430, 'phi/obj': '0.9725', 'sac/actor_loss': '-95.69', 'sac/alpha': '0.002864', 'sac/q_loss': '0.106', 'sac/reward_mean': '0.9738'}
{'step': 87000, 'sps': '31.1', 'episodes': 435, 'phi/obj': '0.9693', 'sac/actor_loss': '-95.72', 'sac/alpha': '0.003078', 'sac/q_loss': '0.07525', 'sac/reward_mean': '0.9709'}
{'step': 88000, 'sps': '31.1', 'episodes': 440, 'phi/obj': '0.9715', 'sac/actor_loss': '-95.76', 'sac/alpha': '0.003', 'sac/q_loss': '0.1048', 'sac/reward_mean': '0.9731'}
{'step': 89000, 'sps': '31.1', 'episodes': 445, 'phi/obj': '0.9732', 'sac/actor_loss': '-95.82', 'sac/alpha': '0.00294', 'sac/q_loss': '0.101', 'sac/reward_mean': '0.9746'}
{'step': 90000, 'sps': '31.1', 'episodes': 450, 'phi/obj': '0.9744', 'sac/actor_loss': '-95.86', 'sac/alpha': '0.003179', 'sac/q_loss': '0.1597', 'sac/reward_mean': '0.9757'}
{'step': 91000, 'sps': '31.1', 'episodes': 455, 'phi/obj': '0.9766', 'sac/actor_loss': '-95.92', 'sac/alpha': '0.003204', 'sac/q_loss': '0.1351', 'sac/reward_mean': '0.9779'}
{'step': 92000, 'sps': '31.1', 'episodes': 460, 'phi/obj': '0.9764', 'sac/actor_loss': '-95.99', 'sac/alpha': '0.003146', 'sac/q_loss': '0.0993', 'sac/reward_mean': '0.9777'}
{'step': 93000, 'sps': '31.1', 'episodes': 465, 'phi/obj': '0.9778', 'sac/actor_loss': '-96.05', 'sac/alpha': '0.002918', 'sac/q_loss': '0.08036', 'sac/reward_mean': '0.9791'}
{'step': 94000, 'sps': '31.1', 'episodes': 470, 'phi/obj': '0.9787', 'sac/actor_loss': '-96.1', 'sac/alpha': '0.002836', 'sac/q_loss': '0.09684', 'sac/reward_mean': '0.98'}
