run=abl_fullstate_temporal_s2 metric=temporal skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '77', 'episodes': 5}
{'step': 2000, 'sps': '77.3', 'episodes': 10}
{'step': 3000, 'sps': '77.7', 'episodes': 15}
{'step': 4000, 'sps': '77.9', 'episodes': 20}
{'step': 5000, 'sps': '77.9', 'episodes': 25}
{'step': 64000, 'sps': '36.2', 'episodes': 320, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.09538', 'phi/lambda': '0.4258', 'phi/obj': '0.6645', 'phi/violation_rate': '0.4153', 'sac/actor_loss': '-7111', 'sac/alpha': '2.927', 'sac/q_loss': '2453', 'sac/reward_mean': '66.55'}
{'step': 65000, 'sps': '36.2', 'episodes': 325, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.09289', 'phi/lambda': '0.4244', 'phi/obj': '0.6687', 'phi/violation_rate': '0.4207', 'sac/actor_loss': '-7133', 'sac/alpha': '2.944', 'sac/q_loss': '2456', 'sac/reward_mean': '66.97'}
{'step': 66000, 'sps': '36.2', 'episodes': 330, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.09409', 'phi/lambda': '0.4256', 'phi/obj': '0.6682', 'phi/violation_rate': '0.4177', 'sac/actor_loss': '-7138', 'sac/alpha': '2.937', 'sac/q_loss': '2438', 'sac/reward_mean': '66.92'}
{'step': 67000, 'sps': '36.2', 'episodes': 335, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.09261', 'phi/lambda': '0.4252', 'phi/obj': '0.668', 'phi/violation_rate': '0.4211', 'sac/actor_loss': '-7133', 'sac/alpha': '2.892', 'sac/q_loss': '2546', 'sac/reward_mean': '66.9'}
{'step': 68000, 'sps': '36.1', 'episodes': 340, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.09449', 'phi/lambda': '0.426', 'phi/obj': '0.668', 'phi/violation_rate': '0.4196', 'sac/actor_loss': '-7140', 'sac/alpha': '2.878', 'sac/q_loss': '2404', 'sac/reward_mean': '66.9'}
{'step': 69000, 'sps': '36.1', 'episodes': 345, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.09338', 'phi/lambda': '0.4259', 'phi/obj': '0.6688', 'phi/violation_rate': '0.4189', 'sac/actor_loss': '-7153', 'sac/alpha': '2.892', 'sac/q_loss': '2432', 'sac/reward_mean': '66.98'}
{'step': 70000, 'sps': '36.1', 'episodes': 350, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.0929', 'phi/lambda': '0.4253', 'phi/obj': '0.6695', 'phi/violation_rate': '0.4179', 'sac/actor_loss': '-7165', 'sac/alpha': '2.927', 'sac/q_loss': '2502', 'sac/reward_mean': '67.05'}
{'step': 71000, 'sps': '36.1', 'episodes': 355, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.09342', 'phi/lambda': '0.4259', 'phi/obj': '0.6684', 'phi/violation_rate': '0.4165', 'sac/actor_loss': '-7164', 'sac/alpha': '2.928', 'sac/q_loss': '2466', 'sac/reward_mean': '66.94'}
{'step': 72000, 'sps': '36', 'episodes': 360, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.09163', 'phi/lambda': '0.4246', 'phi/obj': '0.6701', 'phi/violation_rate': '0.419', 'sac/actor_loss': '-7168', 'sac/alpha': '2.922', 'sac/q_loss': '2439', 'sac/reward_mean': '67.11'}
{'step': 73000, 'sps': '36', 'episodes': 365, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.0917', 'phi/lambda': '0.4241', 'phi/obj': '0.6699', 'phi/violation_rate': '0.4196', 'sac/actor_loss': '-7186', 'sac/alpha': '2.877', 'sac/q_loss': '2542', 'sac/reward_mean': '67.09'}
{'step': 74000, 'sps': '36', 'episodes': 370, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.09021', 'phi/lambda': '0.4262', 'phi/obj': '0.6733', 'phi/violation_rate': '0.4216', 'sac/actor_loss': '-7204', 'sac/alpha': '2.883', 'sac/q_loss': '2509', 'sac/reward_mean': '67.43'}
{'step': 75000, 'sps': '36', 'episodes': 375, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.0907', 'phi/lambda': '0.4262', 'phi/obj': '0.675', 'phi/violation_rate': '0.4216', 'sac/actor_loss': '-7221', 'sac/alpha': '2.876', 'sac/q_loss': '2466', 'sac/reward_mean': '67.6'}
{'step': 76000, 'sps': '36', 'episodes': 380, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.09098', 'phi/lambda': '0.4275', 'phi/obj': '0.6745', 'phi/violation_rate': '0.4152', 'sac/actor_loss': '-7213', 'sac/alpha': '2.885', 'sac/q_loss': '2480', 'sac/reward_mean': '67.54'}
{'step': 77000, 'sps': '35.9', 'episodes': 385, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.0892', 'phi/lambda': '0.4255', 'phi/obj': '0.6763', 'phi/violation_rate': '0.4205', 'sac/actor_loss': '-7213', 'sac/alpha': '2.862', 'sac/q_loss': '2424', 'sac/reward_mean': '67.73'}
{'step': 78000, 'sps': '35.9', 'episodes': 390, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.08914', 'phi/lambda': '0.4258', 'phi/obj': '0.6759', 'phi/violation_rate': '0.4189', 'sac/actor_loss': '-7210', 'sac/alpha': '2.837', 'sac/q_loss': '2500', 'sac/reward_mean': '67.69'}
{'step': 79000, 'sps': '35.9', 'episodes': 395, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.09068', 'phi/lambda': '0.4255', 'phi/obj': '0.676', 'phi/violation_rate': '0.4218', 'sac/actor_loss': '-7206', 'sac/alpha': '2.822', 'sac/q_loss': '2448', 'sac/reward_mean': '67.7'}
