run=abl_temporal_rt_d4_s1 metric=temporal skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '68.5', 'episodes': 5}
{'step': 2000, 'sps': '68.9', 'episodes': 10}
{'step': 3000, 'sps': '69', 'episodes': 15}
{'step': 4000, 'sps': '69', 'episodes': 20}
{'step': 5000, 'sps': '69', 'episodes': 25}
{'step': 59000, 'sps': '26.9', 'episodes': 295, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6554', 'phi/lambda': '0.01985', 'phi/obj': '0.01408', 'phi/violation_rate': '0.08668', 'sac/actor_loss': '-564.8', 'sac/alpha': '0.4752', 'sac/q_loss': '1802', 'sac/reward_mean': '1.42'}
{'step': 60000, 'sps': '26.8', 'episodes': 300, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6505', 'phi/lambda': '0.01816', 'phi/obj': '0.01458', 'phi/violation_rate': '0.08677', 'sac/actor_loss': '-565.6', 'sac/alpha': '0.4834', 'sac/q_loss': '1878', 'sac/reward_mean': '1.47'}
{'step': 61000, 'sps': '26.7', 'episodes': 305, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6362', 'phi/lambda': '0.01867', 'phi/obj': '0.01449', 'phi/violation_rate': '0.09058', 'sac/actor_loss': '-564.4', 'sac/alpha': '0.4494', 'sac/q_loss': '1932', 'sac/reward_mean': '1.462'}
{'step': 62000, 'sps': '26.6', 'episodes': 310, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6405', 'phi/lambda': '0.01893', 'phi/obj': '0.01441', 'phi/violation_rate': '0.0887', 'sac/actor_loss': '-561.8', 'sac/alpha': '0.4359', 'sac/q_loss': '1926', 'sac/reward_mean': '1.454'}
{'step': 63000, 'sps': '26.5', 'episodes': 315, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6516', 'phi/lambda': '0.01989', 'phi/obj': '0.01386', 'phi/violation_rate': '0.08852', 'sac/actor_loss': '-561.1', 'sac/alpha': '0.4479', 'sac/q_loss': '1837', 'sac/reward_mean': '1.399'}
{'step': 64000, 'sps': '26.5', 'episodes': 320, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6468', 'phi/lambda': '0.01961', 'phi/obj': '0.01423', 'phi/violation_rate': '0.08911', 'sac/actor_loss': '-558.9', 'sac/alpha': '0.4453', 'sac/q_loss': '1847', 'sac/reward_mean': '1.435'}
{'step': 65000, 'sps': '26.4', 'episodes': 325, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6417', 'phi/lambda': '0.01906', 'phi/obj': '0.01392', 'phi/violation_rate': '0.09041', 'sac/actor_loss': '-556.2', 'sac/alpha': '0.4374', 'sac/q_loss': '1874', 'sac/reward_mean': '1.404'}
{'step': 66000, 'sps': '26.3', 'episodes': 330, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6655', 'phi/lambda': '0.01683', 'phi/obj': '0.01352', 'phi/violation_rate': '0.08638', 'sac/actor_loss': '-553.6', 'sac/alpha': '0.4235', 'sac/q_loss': '1815', 'sac/reward_mean': '1.364'}
{'step': 67000, 'sps': '26.4', 'episodes': 335, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.616', 'phi/lambda': '0.01818', 'phi/obj': '0.0148', 'phi/violation_rate': '0.09331', 'sac/actor_loss': '-551.2', 'sac/alpha': '0.4323', 'sac/q_loss': '2049', 'sac/reward_mean': '1.494'}
{'step': 68000, 'sps': '26.4', 'episodes': 340, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6589', 'phi/lambda': '0.02164', 'phi/obj': '0.01305', 'phi/violation_rate': '0.08656', 'sac/actor_loss': '-547', 'sac/alpha': '0.4282', 'sac/q_loss': '1842', 'sac/reward_mean': '1.318'}
