run=dads_soil_s0 metric=w2 skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '64', 'episodes': 5}
{'step': 2000, 'sps': '65', 'episodes': 10}
{'step': 3000, 'sps': '65', 'episodes': 15}
{'step': 4000, 'sps': '65', 'episodes': 20}
{'step': 104000, 'sps': '29.8', 'episodes': 520, 'phi/obj': '-1.381e-08', 'sac/actor_loss': '-0.4138', 'sac/alpha': '6.993e-05', 'sac/q_loss': '5.504e-06', 'sac/reward_mean': '4.354e-06'}
{'step': 105000, 'sps': '29.8', 'episodes': 525, 'phi/obj': '-1.382e-08', 'sac/actor_loss': '-0.398', 'sac/alpha': '6.519e-05', 'sac/q_loss': '5.895e-06', 'sac/reward_mean': '4.197e-06'}
{'step': 106000, 'sps': '29.8', 'episodes': 530, 'phi/obj': '-1.354e-08', 'sac/actor_loss': '-0.3821', 'sac/alpha': '5.851e-05', 'sac/q_loss': '6.149e-06', 'sac/reward_mean': '4.049e-06'}
{'step': 107000, 'sps': '29.8', 'episodes': 535, 'phi/obj': '-1.344e-08', 'sac/actor_loss': '-0.367', 'sac/alpha': '5.447e-05', 'sac/q_loss': '4.706e-06', 'sac/reward_mean': '3.897e-06'}
{'step': 108000, 'sps': '29.8', 'episodes': 540, 'phi/obj': '-1.341e-08', 'sac/actor_loss': '-0.3535', 'sac/alpha': '5.174e-05', 'sac/q_loss': '4.343e-06', 'sac/reward_mean': '3.746e-06'}
{'step': 109000, 'sps': '29.8', 'episodes': 545, 'phi/obj': '-1.337e-08', 'sac/actor_loss': '-0.3398', 'sac/alpha': '4.796e-05', 'sac/q_loss': '4.59e-06', 'sac/reward_mean': '3.625e-06'}
{'step': 110000, 'sps': '29.8', 'episodes': 550, 'phi/obj': '-1.332e-08', 'sac/actor_loss': '-0.3265', 'sac/alpha': '4.5e-05', 'sac/q_loss': '3.994e-06', 'sac/reward_mean': '3.497e-06'}
{'step': 111000, 'sps': '29.8', 'episodes': 555, 'phi/obj': '-1.326e-08', 'sac/actor_loss': '-0.3135', 'sac/alpha': '4.206e-05', 'sac/q_loss': '3.443e-06', 'sac/reward_mean': '3.364e-06'}
{'step': 112000, 'sps': '29.8', 'episodes': 560, 'phi/obj': '-1.328e-08', 'sac/actor_loss': '-0.3009', 'sac/alpha': '3.768e-05', 'sac/q_loss': '3.114e-06', 'sac/reward_mean': '3.266e-06'}
{'step': 113000, 'sps': '29.8', 'episodes': 565, 'phi/obj': '-1.328e-08', 'sac/actor_loss': '-0.2886', 'sac/alpha': '3.511e-05', 'sac/q_loss': '2.79e-06', 'sac/reward_mean': '3.154e-06'}
{'step': 114000, 'sps': '29.8', 'episodes': 570, 'phi/obj': '-1.308e-08', 'sac/actor_loss': '-0.2772', 'sac/alpha': '3.324e-05', 'sac/q_loss': '3.273e-06', 'sac/reward_mean': '3.043e-06'}
{'step': 115000, 'sps': '29.8', 'episodes': 575, 'phi/obj': '-1.289e-08', 'sac/actor_loss': '-0.2655', 'sac/alpha': '3.206e-05', 'sac/q_loss': '3.018e-06', 'sac/reward_mean': '2.895e-06'}
{'step': 116000, 'sps': '29.8', 'episodes': 580, 'phi/obj': '-1.29e-08', 'sac/actor_loss': '-0.2548', 'sac/alpha': '3.206e-05', 'sac/q_loss': '2.335e-06', 'sac/reward_mean': '2.808e-06'}
{'step': 117000, 'sps': '29.8', 'episodes': 585, 'phi/obj': '-1.294e-08', 'sac/actor_loss': '-0.2442', 'sac/alpha': '3.057e-05', 'sac/q_loss': '2.499e-06', 'sac/reward_mean': '2.677e-06'}
{'step': 118000, 'sps': '29.7', 'episodes': 590, 'phi/obj': '-1.29e-08', 'sac/actor_loss': '-0.234', 'sac/alpha': '2.9e-05', 'sac/q_loss': '2.075e-06', 'sac/reward_mean': '2.576e-06'}
{'step': 119000, 'sps': '29.7', 'episodes': 595, 'phi/obj': '-1.298e-08', 'sac/actor_loss': '-0.2241', 'sac/alpha': '2.867e-05', 'sac/q_loss': '2.217e-06', 'sac/reward_mean': '2.491e-06'}
{'step': 120000, 'sps': '29.7', 'episodes': 600, 'phi/obj': '-1.284e-08', 'sac/actor_loss': '-0.2147', 'sac/alpha': '2.788e-05', 'sac/q_loss': '1.669e-06', 'sac/reward_mean': '2.395e-06'}
{'step': 121000, 'sps': '29.7', 'episodes': 605, 'phi/obj': '-1.264e-08', 'sac/actor_loss': '-0.2059', 'sac/alpha': '2.626e-05', 'sac/q_loss': '1.881e-06', 'sac/reward_mean': '2.272e-06'}
