run=abl_temporal_rt_d4_s2 metric=temporal skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '76.6', 'episodes': 5}
{'step': 2000, 'sps': '77.4', 'episodes': 10}
{'step': 3000, 'sps': '77.7', 'episodes': 15}
{'step': 4000, 'sps': '77.6', 'episodes': 20}
{'step': 47000, 'sps': '36.9', 'episodes': 235, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5857', 'phi/lambda': '0.0717', 'phi/obj': '0.05331', 'phi/violation_rate': '0.1169', 'sac/actor_loss': '-1.319e+04', 'sac/alpha': '4.671', 'sac/q_loss': '4.391e+04', 'sac/reward_mean': '5.348'}
{'step': 48000, 'sps': '36.9', 'episodes': 240, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.58', 'phi/lambda': '0.07242', 'phi/obj': '0.05447', 'phi/violation_rate': '0.1178', 'sac/actor_loss': '-1.316e+04', 'sac/alpha': '4.166', 'sac/q_loss': '3.544e+04', 'sac/reward_mean': '5.465'}
{'step': 49000, 'sps': '36.9', 'episodes': 245, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5784', 'phi/lambda': '0.07508', 'phi/obj': '0.05622', 'phi/violation_rate': '0.1187', 'sac/actor_loss': '-1.311e+04', 'sac/alpha': '3.892', 'sac/q_loss': '3.008e+04', 'sac/reward_mean': '5.64'}
{'step': 50000, 'sps': '36.8', 'episodes': 250, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5771', 'phi/lambda': '0.07236', 'phi/obj': '0.05751', 'phi/violation_rate': '0.1188', 'sac/actor_loss': '-1.301e+04', 'sac/alpha': '3.777', 'sac/q_loss': '2.843e+04', 'sac/reward_mean': '5.77'}
{'step': 51000, 'sps': '36.8', 'episodes': 255, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5711', 'phi/lambda': '0.07644', 'phi/obj': '0.05871', 'phi/violation_rate': '0.1193', 'sac/actor_loss': '-1.289e+04', 'sac/alpha': '3.82', 'sac/q_loss': '2.929e+04', 'sac/reward_mean': '5.89'}
{'step': 52000, 'sps': '36.7', 'episodes': 260, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5865', 'phi/lambda': '0.07694', 'phi/obj': '0.05665', 'phi/violation_rate': '0.1159', 'sac/actor_loss': '-1.278e+04', 'sac/alpha': '4.07', 'sac/q_loss': '3.053e+04', 'sac/reward_mean': '5.685'}
{'step': 53000, 'sps': '36.7', 'episodes': 265, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.579', 'phi/lambda': '0.07532', 'phi/obj': '0.05884', 'phi/violation_rate': '0.1171', 'sac/actor_loss': '-1.263e+04', 'sac/alpha': '4.201', 'sac/q_loss': '3.144e+04', 'sac/reward_mean': '5.904'}
{'step': 54000, 'sps': '36.7', 'episodes': 270, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5793', 'phi/lambda': '0.07862', 'phi/obj': '0.05903', 'phi/violation_rate': '0.1157', 'sac/actor_loss': '-1.245e+04', 'sac/alpha': '4.258', 'sac/q_loss': '2.945e+04', 'sac/reward_mean': '5.924'}
{'step': 55000, 'sps': '36.6', 'episodes': 275, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5845', 'phi/lambda': '0.07395', 'phi/obj': '0.05712', 'phi/violation_rate': '0.1142', 'sac/actor_loss': '-1.224e+04', 'sac/alpha': '4.302', 'sac/q_loss': '2.872e+04', 'sac/reward_mean': '5.732'}
{'step': 56000, 'sps': '36.6', 'episodes': 280, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5779', 'phi/lambda': '0.08031', 'phi/obj': '0.06001', 'phi/violation_rate': '0.1147', 'sac/actor_loss': '-1.201e+04', 'sac/alpha': '4.218', 'sac/q_loss': '3.09e+04', 'sac/reward_mean': '6.021'}
