run=stage2_comp_s1 metric=euclidean skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '67.9', 'episodes': 3}
{'step': 2000, 'sps': '70.2', 'episodes': 6}
{'step': 3000, 'sps': '70.8', 'episodes': 10}
{'step': 4000, 'sps': '71.5', 'episodes': 13}
{'step': 43000, 'sps': '33.6', 'episodes': 143, 'metric/d_mean': '0.001854', 'metric/d_nonzero': '0.3142', 'phi/constraint': '0.000246', 'phi/lambda': '3.806', 'phi/obj': '0.001547', 'phi/violation_rate': '0.3049', 'sac/actor_loss': '-13.6', 'sac/alpha': '0.02109', 'sac/q_loss': '2.991', 'sac/reward_mean': '0.1561'}
{'step': 44000, 'sps': '33.5', 'episodes': 146, 'metric/d_mean': '0.001779', 'metric/d_nonzero': '0.3214', 'phi/constraint': '0.0002111', 'phi/lambda': '3.933', 'phi/obj': '0.00159', 'phi/violation_rate': '0.3143', 'sac/actor_loss': '-14.18', 'sac/alpha': '0.02262', 'sac/q_loss': '2.613', 'sac/reward_mean': '0.1602'}
{'step': 45000, 'sps': '33.5', 'episodes': 150, 'metric/d_mean': '0.001916', 'metric/d_nonzero': '0.3286', 'phi/constraint': '0.0002738', 'phi/lambda': '4.099', 'phi/obj': '0.001624', 'phi/violation_rate': '0.3204', 'sac/actor_loss': '-14.65', 'sac/alpha': '0.02395', 'sac/q_loss': '2.821', 'sac/reward_mean': '0.1639'}
{'step': 46000, 'sps': '33.5', 'episodes': 153, 'metric/d_mean': '0.001809', 'metric/d_nonzero': '0.332', 'phi/constraint': '0.0002113', 'phi/lambda': '4.204', 'phi/obj': '0.001664', 'phi/violation_rate': '0.3236', 'sac/actor_loss': '-15.46', 'sac/alpha': '0.02561', 'sac/q_loss': '2.76', 'sac/reward_mean': '0.1677'}
{'step': 47000, 'sps': '33.5', 'episodes': 156, 'metric/d_mean': '0.00194', 'metric/d_nonzero': '0.3366', 'phi/constraint': '0.0002841', 'phi/lambda': '4.243', 'phi/obj': '0.001654', 'phi/violation_rate': '0.3287', 'sac/actor_loss': '-16.19', 'sac/alpha': '0.02782', 'sac/q_loss': '3.133', 'sac/reward_mean': '0.1669'}
{'step': 48000, 'sps': '33.5', 'episodes': 160, 'metric/d_mean': '0.001956', 'metric/d_nonzero': '0.3433', 'phi/constraint': '0.0002352', 'phi/lambda': '4.284', 'phi/obj': '0.001775', 'phi/violation_rate': '0.3344', 'sac/actor_loss': '-17.34', 'sac/alpha': '0.03012', 'sac/q_loss': '3.297', 'sac/reward_mean': '0.179'}
{'step': 49000, 'sps': '33.5', 'episodes': 163, 'metric/d_mean': '0.001975', 'metric/d_nonzero': '0.3486', 'phi/constraint': '0.0002635', 'phi/lambda': '4.335', 'phi/obj': '0.001709', 'phi/violation_rate': '0.3386', 'sac/actor_loss': '-17.91', 'sac/alpha': '0.03162', 'sac/q_loss': '3.131', 'sac/reward_mean': '0.1723'}
{'step': 50000, 'sps': '33.5', 'episodes': 166, 'metric/d_mean': '0.002063', 'metric/d_nonzero': '0.3547', 'phi/constraint': '0.0003074', 'phi/lambda': '4.308', 'phi/obj': '0.001696', 'phi/violation_rate': '0.3451', 'sac/actor_loss': '-18.63', 'sac/alpha': '0.0324', 'sac/q_loss': '3.301', 'sac/reward_mean': '0.1713'}
{'step': 51000, 'sps': '33.5', 'episodes': 170, 'metric/d_mean': '0.002179', 'metric/d_nonzero': '0.3686', 'phi/constraint': '0.0003159', 'phi/lambda': '3.945', 'phi/obj': '0.001823', 'phi/violation_rate': '0.3586', 'sac/actor_loss': '-19.33', 'sac/alpha': '0.03329', 'sac/q_loss': '3.409', 'sac/reward_mean': '0.184'}
{'step': 52000, 'sps': '33.5', 'episodes': 173, 'metric/d_mean': '0.002195', 'metric/d_nonzero': '0.3702', 'phi/constraint': '0.0002643', 'phi/lambda': '3.831', 'phi/obj': '0.00185', 'phi/violation_rate': '0.3613', 'sac/actor_loss': '-20.01', 'sac/alpha': '0.03326', 'sac/q_loss': '3.531', 'sac/reward_mean': '0.1869'}
{'step': 53000, 'sps': '33.5', 'episodes': 176, 'metric/d_mean': '0.00231', 'metric/d_nonzero': '0.3765', 'phi/constraint': '0.0003212', 'phi/lambda': '3.797', 'phi/obj': '0.002005', 'phi/violation_rate': '0.3681', 'sac/actor_loss': '-20.79', 'sac/alpha': '0.03369', 'sac/q_loss': '3.833', 'sac/reward_mean': '0.2024'}
{'step': 54000, 'sps': '33.5', 'episodes': 180, 'metric/d_mean': '0.002376', 'metric/d_nonzero': '0.38', 'phi/constraint': '0.0003554', 'phi/lambda': '3.791', 'phi/obj': '0.002051', 'phi/violation_rate': '0.372', 'sac/actor_loss': '-21.69', 'sac/alpha': '0.03476', 'sac/q_loss': '3.759', 'sac/reward_mean': '0.2073'}
{'step': 55000, 'sps': '33.4', 'episodes': 183, 'metric/d_mean': '0.002279', 'metric/d_nonzero': '0.3838', 'phi/constraint': '0.0002499', 'phi/lambda': '3.887', 'phi/obj': '0.00215', 'phi/violation_rate': '0.3768', 'sac/actor_loss': '-22.38', 'sac/alpha': '0.03489', 'sac/q_loss': '4.129', 'sac/reward_mean': '0.2169'}
{'step': 56000, 'sps': '33.4', 'episodes': 186, 'metric/d_mean': '0.002406', 'metric/d_nonzero': '0.3907', 'phi/constraint': '0.0003886', 'phi/lambda': '4.011', 'phi/obj': '0.002056', 'phi/violation_rate': '0.3829', 'sac/actor_loss': '-23.17', 'sac/alpha': '0.03632', 'sac/q_loss': '3.987', 'sac/reward_mean': '0.2075'}
{'step': 57000, 'sps': '33.4', 'episodes': 190, 'metric/d_mean': '0.002419', 'metric/d_nonzero': '0.3908', 'phi/constraint': '0.0003092', 'phi/lambda': '3.729', 'phi/obj': '0.002146', 'phi/violation_rate': '0.383', 'sac/actor_loss': '-23.77', 'sac/alpha': '0.03563', 'sac/q_loss': '4.753', 'sac/reward_mean': '0.2167'}
{'step': 58000, 'sps': '33.4', 'episodes': 193, 'metric/d_mean': '0.002406', 'metric/d_nonzero': '0.394', 'phi/constraint': '0.0003186', 'phi/lambda': '3.795', 'phi/obj': '0.002183', 'phi/violation_rate': '0.385', 'sac/actor_loss': '-24.82', 'sac/alpha': '0.03583', 'sac/q_loss': '4.581', 'sac/reward_mean': '0.2204'}
{'step': 59000, 'sps': '33.4', 'episodes': 196, 'metric/d_mean': '0.002328', 'metric/d_nonzero': '0.3975', 'phi/constraint': '0.0002915', 'phi/lambda': '3.988', 'phi/obj': '0.00226', 'phi/violation_rate': '0.3885', 'sac/actor_loss': '-26.15', 'sac/alpha': '0.03585', 'sac/q_loss': '4.404', 'sac/reward_mean': '0.2283'}
{'step': 60000, 'sps': '33.4', 'episodes': 200, 'metric/d_mean': '0.002457', 'metric/d_nonzero': '0.403', 'phi/constraint': '0.0003161', 'phi/lambda': '4.095', 'phi/obj': '0.002266', 'phi/violation_rate': '0.3933', 'sac/actor_loss': '-26.79', 'sac/alpha': '0.03627', 'sac/q_loss': '4.599', 'sac/reward_mean': '0.2288'}
