run=tmsd_sw2_2d_s0 metric=sliced_w2 skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '66.6', 'episodes': 5}
{'step': 2000, 'sps': '67.7', 'episodes': 10}
{'step': 3000, 'sps': '68.1', 'episodes': 15}
{'step': 4000, 'sps': '68.2', 'episodes': 20}
{'step': 46000, 'sps': '24', 'episodes': 230, 'metric/d_mean': '0.001082', 'metric/d_nonzero': '0.2536', 'phi/constraint': '8.535e-07', 'phi/lambda': '18.68', 'phi/obj': '0.0001289', 'phi/violation_rate': '0.05409', 'sac/actor_loss': '-6.866', 'sac/alpha': '0.001527', 'sac/q_loss': '0.03047', 'sac/reward_mean': '0.01302'}
{'step': 47000, 'sps': '23.9', 'episodes': 235, 'metric/d_mean': '0.001078', 'metric/d_nonzero': '0.254', 'phi/constraint': '8.465e-07', 'phi/lambda': '17.87', 'phi/obj': '0.0001239', 'phi/violation_rate': '0.05414', 'sac/actor_loss': '-6.665', 'sac/alpha': '0.001438', 'sac/q_loss': '0.03005', 'sac/reward_mean': '0.01251'}
{'step': 48000, 'sps': '23.9', 'episodes': 240, 'metric/d_mean': '0.001088', 'metric/d_nonzero': '0.2551', 'phi/constraint': '9.301e-07', 'phi/lambda': '17.93', 'phi/obj': '0.0001229', 'phi/violation_rate': '0.05248', 'sac/actor_loss': '-6.464', 'sac/alpha': '0.001416', 'sac/q_loss': '0.03011', 'sac/reward_mean': '0.01242'}
{'step': 49000, 'sps': '23.9', 'episodes': 245, 'metric/d_mean': '0.001081', 'metric/d_nonzero': '0.2539', 'phi/constraint': '8.835e-07', 'phi/lambda': '17.59', 'phi/obj': '0.0001195', 'phi/violation_rate': '0.05329', 'sac/actor_loss': '-6.271', 'sac/alpha': '0.001414', 'sac/q_loss': '0.02986', 'sac/reward_mean': '0.01208'}
{'step': 50000, 'sps': '23.8', 'episodes': 250, 'metric/d_mean': '0.001065', 'metric/d_nonzero': '0.2513', 'phi/constraint': '9.203e-07', 'phi/lambda': '17.6', 'phi/obj': '0.0001154', 'phi/violation_rate': '0.05145', 'sac/actor_loss': '-6.081', 'sac/alpha': '0.001396', 'sac/q_loss': '0.02861', 'sac/reward_mean': '0.01166'}
{'step': 51000, 'sps': '23.8', 'episodes': 255, 'metric/d_mean': '0.001075', 'metric/d_nonzero': '0.252', 'phi/constraint': '9.328e-07', 'phi/lambda': '17.33', 'phi/obj': '0.0001152', 'phi/violation_rate': '0.05322', 'sac/actor_loss': '-5.907', 'sac/alpha': '0.001406', 'sac/q_loss': '0.02903', 'sac/reward_mean': '0.01165'}
{'step': 52000, 'sps': '23.8', 'episodes': 260, 'metric/d_mean': '0.001076', 'metric/d_nonzero': '0.2532', 'phi/constraint': '9.058e-07', 'phi/lambda': '17.35', 'phi/obj': '0.0001156', 'phi/violation_rate': '0.05186', 'sac/actor_loss': '-5.74', 'sac/alpha': '0.001334', 'sac/q_loss': '0.02873', 'sac/reward_mean': '0.01168'}
{'step': 53000, 'sps': '23.7', 'episodes': 265, 'metric/d_mean': '0.001083', 'metric/d_nonzero': '0.254', 'phi/constraint': '9.785e-07', 'phi/lambda': '16.47', 'phi/obj': '0.0001118', 'phi/violation_rate': '0.05258', 'sac/actor_loss': '-5.566', 'sac/alpha': '0.00124', 'sac/q_loss': '0.02844', 'sac/reward_mean': '0.01131'}
{'step': 54000, 'sps': '23.7', 'episodes': 270, 'metric/d_mean': '0.001075', 'metric/d_nonzero': '0.2529', 'phi/constraint': '9.184e-07', 'phi/lambda': '16.5', 'phi/obj': '0.0001119', 'phi/violation_rate': '0.0534', 'sac/actor_loss': '-5.407', 'sac/alpha': '0.001224', 'sac/q_loss': '0.02862', 'sac/reward_mean': '0.01132'}
{'step': 55000, 'sps': '23.7', 'episodes': 275, 'metric/d_mean': '0.00108', 'metric/d_nonzero': '0.2531', 'phi/constraint': '9.619e-07', 'phi/lambda': '16.55', 'phi/obj': '0.0001118', 'phi/violation_rate': '0.05131', 'sac/actor_loss': '-5.262', 'sac/alpha': '0.001223', 'sac/q_loss': '0.02885', 'sac/reward_mean': '0.0113'}
{'step': 56000, 'sps': '23.6', 'episodes': 280, 'metric/d_mean': '0.001079', 'metric/d_nonzero': '0.2537', 'phi/constraint': '9.367e-07', 'phi/lambda': '16.88', 'phi/obj': '0.0001143', 'phi/violation_rate': '0.04975', 'sac/actor_loss': '-5.134', 'sac/alpha': '0.001313', 'sac/q_loss': '0.02914', 'sac/reward_mean': '0.01155'}
{'step': 57000, 'sps': '23.6', 'episodes': 285, 'metric/d_mean': '0.001082', 'metric/d_nonzero': '0.2539', 'phi/constraint': '9.668e-07', 'phi/lambda': '16.85', 'phi/obj': '0.0001129', 'phi/violation_rate': '0.05049', 'sac/actor_loss': '-4.998', 'sac/alpha': '0.001363', 'sac/q_loss': '0.02895', 'sac/reward_mean': '0.01141'}
{'step': 58000, 'sps': '23.6', 'episodes': 290, 'metric/d_mean': '0.001068', 'metric/d_nonzero': '0.2518', 'phi/constraint': '9.034e-07', 'phi/lambda': '16.5', 'phi/obj': '0.0001088', 'phi/violation_rate': '0.05217', 'sac/actor_loss': '-4.872', 'sac/alpha': '0.00138', 'sac/q_loss': '0.02847', 'sac/reward_mean': '0.01099'}
{'step': 59000, 'sps': '23.6', 'episodes': 295, 'metric/d_mean': '0.001077', 'metric/d_nonzero': '0.2531', 'phi/constraint': '9.663e-07', 'phi/lambda': '16.21', 'phi/obj': '0.0001052', 'phi/violation_rate': '0.05082', 'sac/actor_loss': '-4.743', 'sac/alpha': '0.001272', 'sac/q_loss': '0.02807', 'sac/reward_mean': '0.01063'}
