run=abl_euclid_2d_s0 metric=euclidean skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '68', 'episodes': 5}
{'step': 2000, 'sps': '68.9', 'episodes': 10}
{'step': 3000, 'sps': '69.3', 'episodes': 15}
{'step': 4000, 'sps': '69.5', 'episodes': 20}
{'step': 56000, 'sps': '24.9', 'episodes': 280, 'metric/d_mean': '0.0003827', 'metric/d_nonzero': '0.2545', 'phi/constraint': '9.222e-08', 'phi/lambda': '43.1', 'phi/obj': '4.384e-05', 'phi/violation_rate': '0.05938', 'sac/actor_loss': '-3.731', 'sac/alpha': '0.0005402', 'sac/q_loss': '0.004489', 'sac/reward_mean': '0.004436'}
{'step': 57000, 'sps': '24.9', 'episodes': 285, 'metric/d_mean': '0.000384', 'metric/d_nonzero': '0.2541', 'phi/constraint': '1.05e-07', 'phi/lambda': '42.42', 'phi/obj': '4.251e-05', 'phi/violation_rate': '0.05763', 'sac/actor_loss': '-3.591', 'sac/alpha': '0.0005379', 'sac/q_loss': '0.0044', 'sac/reward_mean': '0.004302'}
{'step': 58000, 'sps': '24.9', 'episodes': 290, 'metric/d_mean': '0.0003783', 'metric/d_nonzero': '0.2519', 'phi/constraint': '9.077e-08', 'phi/lambda': '40.9', 'phi/obj': '4.091e-05', 'phi/violation_rate': '0.06261', 'sac/actor_loss': '-3.46', 'sac/alpha': '0.0005317', 'sac/q_loss': '0.004335', 'sac/reward_mean': '0.004143'}
{'step': 59000, 'sps': '24.9', 'episodes': 295, 'metric/d_mean': '0.0003815', 'metric/d_nonzero': '0.2525', 'phi/constraint': '9.989e-08', 'phi/lambda': '41.64', 'phi/obj': '4.08e-05', 'phi/violation_rate': '0.06299', 'sac/actor_loss': '-3.335', 'sac/alpha': '0.0005206', 'sac/q_loss': '0.004361', 'sac/reward_mean': '0.004132'}
{'step': 60000, 'sps': '24.8', 'episodes': 300, 'metric/d_mean': '0.0003812', 'metric/d_nonzero': '0.2533', 'phi/constraint': '9.354e-08', 'phi/lambda': '41.29', 'phi/obj': '4.168e-05', 'phi/violation_rate': '0.06558', 'sac/actor_loss': '-3.218', 'sac/alpha': '0.0005439', 'sac/q_loss': '0.004367', 'sac/reward_mean': '0.004219'}
{'step': 61000, 'sps': '24.8', 'episodes': 305, 'metric/d_mean': '0.0003784', 'metric/d_nonzero': '0.25', 'phi/constraint': '9.913e-08', 'phi/lambda': '42.18', 'phi/obj': '4.216e-05', 'phi/violation_rate': '0.06268', 'sac/actor_loss': '-3.102', 'sac/alpha': '0.0005309', 'sac/q_loss': '0.004319', 'sac/reward_mean': '0.004266'}
{'step': 62000, 'sps': '24.8', 'episodes': 310, 'metric/d_mean': '0.0003808', 'metric/d_nonzero': '0.2527', 'phi/constraint': '1.078e-07', 'phi/lambda': '40.59', 'phi/obj': '3.882e-05', 'phi/violation_rate': '0.06348', 'sac/actor_loss': '-2.995', 'sac/alpha': '0.0005083', 'sac/q_loss': '0.004188', 'sac/reward_mean': '0.003933'}
{'step': 63000, 'sps': '24.8', 'episodes': 315, 'metric/d_mean': '0.0003805', 'metric/d_nonzero': '0.2533', 'phi/constraint': '1.037e-07', 'phi/lambda': '38.96', 'phi/obj': '3.796e-05', 'phi/violation_rate': '0.06377', 'sac/actor_loss': '-2.894', 'sac/alpha': '0.0005126', 'sac/q_loss': '0.004248', 'sac/reward_mean': '0.003847'}
{'step': 64000, 'sps': '24.7', 'episodes': 320, 'metric/d_mean': '0.0003832', 'metric/d_nonzero': '0.2538', 'phi/constraint': '9.906e-08', 'phi/lambda': '39.45', 'phi/obj': '3.852e-05', 'phi/violation_rate': '0.06554', 'sac/actor_loss': '-2.794', 'sac/alpha': '0.0005373', 'sac/q_loss': '0.004345', 'sac/reward_mean': '0.003902'}
{'step': 65000, 'sps': '24.7', 'episodes': 325, 'metric/d_mean': '0.0003842', 'metric/d_nonzero': '0.2534', 'phi/constraint': '9.266e-08', 'phi/lambda': '38.45', 'phi/obj': '3.981e-05', 'phi/violation_rate': '0.06759', 'sac/actor_loss': '-2.701', 'sac/alpha': '0.0005792', 'sac/q_loss': '0.004398', 'sac/reward_mean': '0.004033'}
{'step': 66000, 'sps': '24.7', 'episodes': 330, 'metric/d_mean': '0.0003784', 'metric/d_nonzero': '0.2515', 'phi/constraint': '1.032e-07', 'phi/lambda': '39.13', 'phi/obj': '3.763e-05', 'phi/violation_rate': '0.06346', 'sac/actor_loss': '-2.614', 'sac/alpha': '0.0005736', 'sac/q_loss': '0.00422', 'sac/reward_mean': '0.003812'}
{'step': 67000, 'sps': '24.7', 'episodes': 335, 'metric/d_mean': '0.000379', 'metric/d_nonzero': '0.2518', 'phi/constraint': '1.03e-07', 'phi/lambda': '39.54', 'phi/obj': '3.738e-05', 'phi/violation_rate': '0.06052', 'sac/actor_loss': '-2.531', 'sac/alpha': '0.0005614', 'sac/q_loss': '0.004376', 'sac/reward_mean': '0.003787'}
{'step': 68000, 'sps': '24.7', 'episodes': 340, 'metric/d_mean': '0.0003811', 'metric/d_nonzero': '0.252', 'phi/constraint': '1.103e-07', 'phi/lambda': '39.87', 'phi/obj': '3.812e-05', 'phi/violation_rate': '0.05851', 'sac/actor_loss': '-2.452', 'sac/alpha': '0.0005809', 'sac/q_loss': '0.004213', 'sac/reward_mean': '0.00386'}
{'step': 69000, 'sps': '24.6', 'episodes': 345, 'metric/d_mean': '0.0003812', 'metric/d_nonzero': '0.2522', 'phi/constraint': '1.042e-07', 'phi/lambda': '37.66', 'phi/obj': '3.668e-05', 'phi/violation_rate': '0.05855', 'sac/actor_loss': '-2.382', 'sac/alpha': '0.0005684', 'sac/q_loss': '0.00428', 'sac/reward_mean': '0.003717'}
