run=mi_full_s0 metric=w2 skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '69.5', 'episodes': 5}
{'step': 2000, 'sps': '69.1', 'episodes': 10}
{'step': 3000, 'sps': '67.2', 'episodes': 15}
{'step': 4000, 'sps': '66.2', 'episodes': 20}
{'step': 101000, 'sps': '31.1', 'episodes': 505, 'phi/obj': '0.9858', 'sac/actor_loss': '-98.46', 'sac/alpha': '0.002224', 'sac/q_loss': '0.03422', 'sac/reward_mean': '0.9876'}
{'step': 102000, 'sps': '31.1', 'episodes': 510, 'phi/obj': '0.9851', 'sac/actor_loss': '-98.46', 'sac/alpha': '0.00226', 'sac/q_loss': '0.03514', 'sac/reward_mean': '0.987'}
{'step': 103000, 'sps': '31.1', 'episodes': 515, 'phi/obj': '0.9847', 'sac/actor_loss': '-98.47', 'sac/alpha': '0.002282', 'sac/q_loss': '0.0258', 'sac/reward_mean': '0.9866'}
{'step': 104000, 'sps': '31.1', 'episodes': 520, 'phi/obj': '0.9857', 'sac/actor_loss': '-98.47', 'sac/alpha': '0.002269', 'sac/q_loss': '0.03075', 'sac/reward_mean': '0.9875'}
{'step': 105000, 'sps': '31.1', 'episodes': 525, 'phi/obj': '0.9854', 'sac/actor_loss': '-98.49', 'sac/alpha': '0.002255', 'sac/q_loss': '0.03205', 'sac/reward_mean': '0.9873'}
{'step': 106000, 'sps': '31.1', 'episodes': 530, 'phi/obj': '0.9855', 'sac/actor_loss': '-98.51', 'sac/alpha': '0.002205', 'sac/q_loss': '0.02511', 'sac/reward_mean': '0.9873'}
{'step': 107000, 'sps': '31.1', 'episodes': 535, 'phi/obj': '0.9852', 'sac/actor_loss': '-98.52', 'sac/alpha': '0.002218', 'sac/q_loss': '0.03146', 'sac/reward_mean': '0.9871'}
{'step': 108000, 'sps': '31.1', 'episodes': 540, 'phi/obj': '0.9846', 'sac/actor_loss': '-98.53', 'sac/alpha': '0.002146', 'sac/q_loss': '0.02795', 'sac/reward_mean': '0.9865'}
{'step': 109000, 'sps': '31.1', 'episodes': 545, 'phi/obj': '0.9851', 'sac/actor_loss': '-98.55', 'sac/alpha': '0.00215', 'sac/q_loss': '0.02399', 'sac/reward_mean': '0.987'}
{'step': 110000, 'sps': '31.1', 'episodes': 550, 'phi/obj': '0.9842', 'sac/actor_loss': '-98.56', 'sac/alpha': '0.002228', 'sac/q_loss': '0.02599', 'sac/reward_mean': '0.9862'}
{'step': 111000, 'sps': '31.1', 'episodes': 555, 'phi/obj': '0.9846', 'sac/actor_loss': '-98.58', 'sac/alpha': '0.002185', 'sac/q_loss': '0.0294', 'sac/reward_mean': '0.9865'}
{'step': 112000, 'sps': '31.1', 'episodes': 560, 'phi/obj': '0.9854', 'sac/actor_loss': '-98.6', 'sac/alpha': '0.002127', 'sac/q_loss': '0.02513', 'sac/reward_mean': '0.9872'}
{'step': 113000, 'sps': '31.1', 'episodes': 565, 'phi/obj': '0.984', 'sac/actor_loss': '-98.6', 'sac/alpha': '0.002056', 'sac/q_loss': '0.02613', 'sac/reward_mean': '0.986'}
{'step': 114000, 'sps': '31.1', 'episodes': 570, 'phi/obj': '0.9849', 'sac/actor_loss': '-98.61', 'sac/alpha': '0.002006', 'sac/q_loss': '0.02298', 'sac/reward_mean': '0.9868'}
{'step': 115000, 'sps': '31.1', 'episodes': 575, 'phi/obj': '0.9847', 'sac/actor_loss': '-98.61', 'sac/alpha': '0.001972', 'sac/q_loss': '0.02196', 'sac/reward_mean': '0.9867'}
{'step': 116000, 'sps': '31.1', 'episodes': 580, 'phi/obj': '0.9842', 'sac/actor_loss': '-98.63', 'sac/alpha': '0.001941', 'sac/q_loss': '0.02234', 'sac/reward_mean': '0.9863'}
{'step': 117000, 'sps': '31.1', 'episodes': 585, 'phi/obj': '0.9842', 'sac/actor_loss': '-98.63', 'sac/alpha': '0.0019', 'sac/q_loss': '0.02159', 'sac/reward_mean': '0.9863'}
{'step': 118000, 'sps': '31.1', 'episodes': 590, 'phi/obj': '0.9844', 'sac/actor_loss': '-98.63', 'sac/alpha': '0.001916', 'sac/q_loss': '0.02119', 'sac/reward_mean': '0.9864'}
{'step': 119000, 'sps': '31.1', 'episodes': 595, 'phi/obj': '0.9826', 'sac/actor_loss': '-98.63', 'sac/alpha': '0.001871', 'sac/q_loss': '0.02424', 'sac/reward_mean': '0.9847'}
{'step': 120000, 'sps': '31.1', 'episodes': 600, 'phi/obj': '0.984', 'sac/actor_loss': '-98.62', 'sac/alpha': '0.00178', 'sac/q_loss': '0.02174', 'sac/reward_mean': '0.986'}
{'step': 121000, 'sps': '31.1', 'episodes': 605, 'phi/obj': '0.984', 'sac/actor_loss': '-98.62', 'sac/alpha': '0.001787', 'sac/q_loss': '0.02023', 'sac/reward_mean': '0.986'}
{'step': 122000, 'sps': '31.1', 'episodes': 610, 'phi/obj': '0.9842', 'sac/actor_loss': '-98.62', 'sac/alpha': '0.001758', 'sac/q_loss': '0.01962', 'sac/reward_mean': '0.9862'}
{'step': 123000, 'sps': '31.1', 'episodes': 615, 'phi/obj': '0.984', 'sac/actor_loss': '-98.62', 'sac/alpha': '0.001766', 'sac/q_loss': '0.01942', 'sac/reward_mean': '0.986'}
{'step': 124000, 'sps': '31.1', 'episodes': 620, 'phi/obj': '0.9834', 'sac/actor_loss': '-98.61', 'sac/alpha': '0.001809', 'sac/q_loss': '0.02303', 'sac/reward_mean': '0.9855'}
{'step': 125000, 'sps': '31.1', 'episodes': 625, 'phi/obj': '0.9837', 'sac/actor_loss': '-98.6', 'sac/alpha': '0.001787', 'sac/q_loss': '0.01867', 'sac/reward_mean': '0.9859'}
{'step': 126000, 'sps': '31.1', 'episodes': 630, 'phi/obj': '0.9837', 'sac/actor_loss': '-98.6', 'sac/alpha': '0.001781', 'sac/q_loss': '0.01863', 'sac/reward_mean': '0.9858'}
{'step': 127000, 'sps': '31.1', 'episodes': 635, 'phi/obj': '0.9839', 'sac/actor_loss': '-98.6', 'sac/alpha': '0.001883', 'sac/q_loss': '0.02127', 'sac/reward_mean': '0.9859'}
{'step': 128000, 'sps': '31.1', 'episodes': 640, 'phi/obj': '0.9839', 'sac/actor_loss': '-98.62', 'sac/alpha': '0.001822', 'sac/q_loss': '0.0186', 'sac/reward_mean': '0.9859'}
{'step': 129000, 'sps': '31.1', 'episodes': 645, 'phi/obj': '0.9826', 'sac/actor_loss': '-98.61', 'sac/alpha': '0.001758', 'sac/q_loss': '0.02008', 'sac/reward_mean': '0.9847'}
