run=abl_euclid_rt_d4_s1 metric=euclidean skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '67.9', 'episodes': 5}
{'step': 2000, 'sps': '68.1', 'episodes': 10}
{'step': 3000, 'sps': '68.3', 'episodes': 15}
{'step': 4000, 'sps': '68.2', 'episodes': 20}
{'step': 60000, 'sps': '26.7', 'episodes': 300, 'metric/d_mean': '0.0008726', 'metric/d_nonzero': '0.4002', 'phi/constraint': '5.101e-07', 'phi/lambda': '66.97', 'phi/obj': '0.000185', 'phi/violation_rate': '0.06216', 'sac/actor_loss': '-5.226', 'sac/alpha': '0.002726', 'sac/q_loss': '0.01916', 'sac/reward_mean': '0.01859'}
{'step': 61000, 'sps': '26.6', 'episodes': 305, 'metric/d_mean': '0.0008733', 'metric/d_nonzero': '0.4011', 'phi/constraint': '5.273e-07', 'phi/lambda': '68.72', 'phi/obj': '0.0001862', 'phi/violation_rate': '0.06181', 'sac/actor_loss': '-5.137', 'sac/alpha': '0.002724', 'sac/q_loss': '0.01949', 'sac/reward_mean': '0.01871'}
{'step': 62000, 'sps': '26.5', 'episodes': 310, 'metric/d_mean': '0.0008816', 'metric/d_nonzero': '0.4044', 'phi/constraint': '5.402e-07', 'phi/lambda': '68.72', 'phi/obj': '0.0001875', 'phi/violation_rate': '0.0623', 'sac/actor_loss': '-5.063', 'sac/alpha': '0.00274', 'sac/q_loss': '0.01989', 'sac/reward_mean': '0.01884'}
{'step': 63000, 'sps': '26.4', 'episodes': 315, 'metric/d_mean': '0.0008851', 'metric/d_nonzero': '0.4072', 'phi/constraint': '5.443e-07', 'phi/lambda': '67.02', 'phi/obj': '0.0001863', 'phi/violation_rate': '0.06168', 'sac/actor_loss': '-4.965', 'sac/alpha': '0.002674', 'sac/q_loss': '0.0201', 'sac/reward_mean': '0.01872'}
{'step': 64000, 'sps': '26.3', 'episodes': 320, 'metric/d_mean': '0.0008874', 'metric/d_nonzero': '0.4072', 'phi/constraint': '5.388e-07', 'phi/lambda': '67.44', 'phi/obj': '0.0001871', 'phi/violation_rate': '0.06106', 'sac/actor_loss': '-4.877', 'sac/alpha': '0.002618', 'sac/q_loss': '0.0209', 'sac/reward_mean': '0.0188'}
{'step': 65000, 'sps': '26.3', 'episodes': 325, 'metric/d_mean': '0.0008889', 'metric/d_nonzero': '0.4078', 'phi/constraint': '5.474e-07', 'phi/lambda': '68.03', 'phi/obj': '0.0001868', 'phi/violation_rate': '0.06102', 'sac/actor_loss': '-4.768', 'sac/alpha': '0.002551', 'sac/q_loss': '0.02044', 'sac/reward_mean': '0.01877'}
{'step': 66000, 'sps': '26.2', 'episodes': 330, 'metric/d_mean': '0.0008942', 'metric/d_nonzero': '0.4093', 'phi/constraint': '5.301e-07', 'phi/lambda': '69', 'phi/obj': '0.0001933', 'phi/violation_rate': '0.06207', 'sac/actor_loss': '-4.706', 'sac/alpha': '0.002524', 'sac/q_loss': '0.02061', 'sac/reward_mean': '0.01942'}
{'step': 67000, 'sps': '26.3', 'episodes': 335, 'metric/d_mean': '0.0008944', 'metric/d_nonzero': '0.4086', 'phi/constraint': '5.34e-07', 'phi/lambda': '69.29', 'phi/obj': '0.0001953', 'phi/violation_rate': '0.06193', 'sac/actor_loss': '-4.626', 'sac/alpha': '0.002478', 'sac/q_loss': '0.01989', 'sac/reward_mean': '0.01962'}
{'step': 68000, 'sps': '26.3', 'episodes': 340, 'metric/d_mean': '0.0008884', 'metric/d_nonzero': '0.4063', 'phi/constraint': '5.436e-07', 'phi/lambda': '69.73', 'phi/obj': '0.000195', 'phi/violation_rate': '0.06112', 'sac/actor_loss': '-4.539', 'sac/alpha': '0.002463', 'sac/q_loss': '0.01929', 'sac/reward_mean': '0.01959'}
{'step': 69000, 'sps': '26.3', 'episodes': 345, 'metric/d_mean': '0.0008898', 'metric/d_nonzero': '0.4068', 'phi/constraint': '5.181e-07', 'phi/lambda': '70.06', 'phi/obj': '0.0001984', 'phi/violation_rate': '0.06298', 'sac/actor_loss': '-4.474', 'sac/alpha': '0.002406', 'sac/q_loss': '0.01923', 'sac/reward_mean': '0.01993'}
